animal_id,species,breed,age_years,sex,weight_kg,activity_level,diet_type,daily_calories,protein_percent,fat_percent,previous_diseases,region,avg_temperature_c,humidity_percent,rainfall_mm,air_quality_index,local_outbreak_risk_index,symptoms_current,predicted_disease,prediction_date,vet_recommended_action
5160,Bird,Cockatiel,13.0,F,4.9,Low,Mixed Diet,1020.0,33.1,17.7,None,"Tamil Nadu, India",27.8,66.4,158.0,57.3,0.32,Loss of Appetite,Arthritis,2025-10-17,Hydration therapy
5161,Hamster,Roborovski,1.0,F,3.7,High,Homemade Cooked,1317.0,21.7,17.9,Parvovirus,"Gujarat, India",30.7,41.1,22.7,102.3,0.2,None,None,2025-09-24,Routine Checkup
5162,Dog,Labrador,8.4,M,31.1,Low,Raw + Veg Mix,1830.0,34.3,11.3,None,"Kerala, India",30.7,77.9,278.3,47.6,0.26,None,None,2025-09-26,Routine Checkup
5163,Dog,German Shepherd,6.1,F,37.7,High,Commercial Kibble,2004.0,20.6,12.4,None,"Maharashtra, India",26.2,51.3,68.7,58.3,0.21,None,None,2025-10-08,Routine Checkup
5164,Hamster,Syrian,2.3,F,6.5,High,Commercial Kibble,800.0,22.9,15.3,None,"Delhi, India",19.3,52.3,43.9,195.1,0.31,None,None,2025-10-05,Routine Checkup
5165,Bird,Cockatiel,1.6,F,2.9,Low,Mixed Diet,1102.0,34.5,19.0,None,"Maharashtra, India",31.9,64.3,126.0,64.1,0.41,None,None,2025-10-01,Routine Checkup
5166,Bird,Parakeet,0.9,M,7.1,Low,Commercial Kibble,1019.0,21.2,13.5,Ear Infection,"Tamil Nadu, India",30.7,74.0,91.4,73.2,0.21,Coughing,None,2025-09-26,Routine Checkup
5167,Cat,Bengal,10.7,M,7.2,High,Raw + Veg Mix,431.0,32.4,18.7,None,"Tamil Nadu, India",28.8,61.1,142.8,61.6,0.33,Sneezing,Feline Upper Resp Infection,2025-09-27,Hydration therapy
5168,Hamster,Roborovski,12.6,F,2.4,Medium,Commercial Kibble,757.0,25.4,10.0,Ear Infection,"Kerala, India",31.2,78.1,226.4,56.7,0.4,None,None,2025-09-23,Routine Checkup
5169,Cat,Siamese,8.8,M,10.3,Medium,Mixed Diet,615.0,28.9,18.8,Skin Allergy,"Gujarat, India",37.7,53.3,72.3,77.1,0.39,None,None,2025-10-08,Routine Checkup
5170,Bird,Parakeet,9.5,M,2.7,Medium,Raw + Veg Mix,1380.0,25.9,13.3,Parvovirus,"Kerala, India",32.0,83.3,155.7,58.3,0.32,Watery Eyes,None,2025-10-15,Routine Checkup
5171,Cat,Persian,3.1,M,9.0,Low,Raw + Veg Mix,1868.0,30.4,16.5,None,"Maharashtra, India",25.6,40.5,50.5,96.0,0.2,None,None,2025-10-11,Routine Checkup
5172,Hamster,Syrian,3.1,M,4.2,Medium,Commercial Kibble,1491.0,23.2,15.3,Parvovirus,"Gujarat, India",29.4,51.3,42.6,144.7,0.33,None,None,2025-10-01,Routine Checkup
5173,Hamster,Syrian,1.2,F,10.0,Low,Raw + Veg Mix,617.0,33.3,15.2,Arthritis,"Gujarat, India",24.9,53.1,78.5,131.8,0.42,None,None,2025-10-18,Routine Checkup
5174,Rabbit,Holland Lop,8.7,F,10.0,Low,Raw + Veg Mix,789.0,29.7,11.2,Parvovirus,"Kerala, India",28.4,78.4,203.7,30.3,0.37,Coughing,None,2025-10-05,Routine Checkup
5175,Cat,Maine Coon,8.8,F,3.2,High,Commercial Kibble,437.0,31.0,11.4,None,"Maharashtra, India",29.6,65.0,61.7,99.0,0.35,None,None,2025-09-30,Routine Checkup
5176,Rabbit,Holland Lop,12.2,F,5.5,High,Dry + Wet Mix,1984.0,31.7,13.0,Feline Upper Resp Infection,"Kerala, India",28.3,76.1,373.6,57.7,0.3,Sneezing,Arthritis,2025-10-17,Provide joint supplements
5177,Cat,Siamese,6.8,M,5.5,Medium,Commercial Kibble,1207.0,32.0,10.2,None,"Kerala, India",25.1,77.9,395.7,54.8,0.38,Watery Eyes,None,2025-10-02,Routine Checkup
5178,Bird,Cockatiel,11.3,M,10.2,High,Commercial Kibble,1113.0,25.6,16.2,None,"Tamil Nadu, India",32.1,61.1,195.0,69.9,0.32,None,None,2025-09-23,Routine Checkup
5179,Hamster,Syrian,7.7,F,9.3,Low,Mixed Diet,1460.0,25.2,20.0,None,"Tamil Nadu, India",30.4,62.6,157.1,86.3,0.23,Loss of Appetite,None,2025-10-23,Routine Checkup
5180,Rabbit,Holland Lop,14.2,F,5.9,Medium,Raw + Veg Mix,1750.0,26.8,17.0,None,"Maharashtra, India",27.5,50.3,137.3,78.2,0.21,Lethargy,None,2025-10-10,Routine Checkup
5181,Rabbit,Netherland Dwarf,4.9,M,7.4,Medium,Mixed Diet,678.0,29.3,19.9,Arthritis,"Maharashtra, India",24.5,59.8,212.4,67.0,0.24,Sneezing,None,2025-09-25,Routine Checkup
5182,Cat,Siamese,3.9,F,8.9,Low,Mixed Diet,2141.0,29.3,19.0,Feline Upper Resp Infection,"Delhi, India",29.7,25.2,50.1,214.8,0.53,Coughing,Parvovirus,2025-10-21,Provide joint supplements
5183,Cat,Bengal,1.9,F,2.7,Medium,Raw + Veg Mix,1698.0,30.8,14.2,Arthritis,"Gujarat, India",25.0,52.8,145.1,132.1,0.38,None,None,2025-10-16,Routine Checkup
5184,Dog,German Shepherd,2.4,M,17.6,Low,Homemade Cooked,1862.0,25.8,16.3,Skin Allergy,"Tamil Nadu, India",32.3,60.7,185.4,66.4,0.23,None,None,2025-10-02,Routine Checkup
5185,Cat,Maine Coon,9.0,M,8.0,Medium,Raw + Veg Mix,508.0,33.1,17.0,None,"Gujarat, India",24.7,54.9,142.1,111.4,0.39,Sneezing,None,2025-09-26,Routine Checkup
5186,Bird,Canary,12.3,M,8.7,High,Mixed Diet,2157.0,21.7,16.2,Skin Allergy,"Tamil Nadu, India",34.8,70.0,150.3,46.8,0.17,Sneezing,None,2025-09-24,Routine Checkup
5187,Dog,Pug,2.9,M,11.1,Low,Raw + Veg Mix,1340.0,24.8,15.9,Arthritis,"Maharashtra, India",31.8,42.5,61.0,110.3,0.45,Sneezing,None,2025-10-22,Routine Checkup
5188,Hamster,Roborovski,3.5,F,7.7,High,Raw + Veg Mix,590.0,22.5,19.6,None,"Maharashtra, India",22.1,47.3,116.3,92.3,0.33,None,None,2025-10-13,Routine Checkup
5189,Rabbit,Holland Lop,13.2,F,2.9,High,Mixed Diet,1117.0,24.5,14.6,Arthritis,"Tamil Nadu, India",33.8,66.6,84.0,77.1,0.33,Sneezing,None,2025-10-21,Routine Checkup
5190,Cat,Persian,10.1,F,11.1,High,Commercial Kibble,1851.0,32.3,11.3,None,"Tamil Nadu, India",34.4,64.0,106.2,46.6,0.34,Watery Eyes,None,2025-09-26,Routine Checkup
5191,Hamster,Syrian,4.3,F,11.9,Medium,Dry + Wet Mix,1771.0,22.1,11.3,None,"Tamil Nadu, India",27.7,77.8,193.7,40.0,0.32,None,None,2025-10-22,Routine Checkup
5192,Cat,Siamese,5.4,M,9.2,High,Homemade Cooked,1186.0,32.6,13.0,None,"Gujarat, India",25.1,33.8,132.7,119.2,0.37,None,None,2025-10-13,Routine Checkup
5193,Dog,Beagle,1.8,F,21.2,High,Dry + Wet Mix,727.0,34.0,16.8,None,"Kerala, India",26.5,85.8,372.2,38.2,0.21,Loss of Appetite,Ear Infection,2025-10-08,Hydration therapy
5194,Cat,British Shorthair,4.6,M,3.8,Low,Dry + Wet Mix,491.0,31.1,13.6,Parvovirus,"Tamil Nadu, India",29.2,60.6,119.3,52.4,0.19,None,None,2025-10-18,Routine Checkup
5195,Hamster,Syrian,5.6,F,9.5,Medium,Homemade Cooked,1941.0,21.7,18.4,None,"Gujarat, India",35.6,59.3,104.5,129.7,0.35,Lethargy,None,2025-10-21,Routine Checkup
5196,Rabbit,Netherland Dwarf,7.2,F,6.6,Low,Raw + Veg Mix,1304.0,30.8,12.5,None,"Maharashtra, India",30.9,44.6,217.4,118.6,0.3,Sneezing,None,2025-10-16,Routine Checkup
5197,Bird,Cockatiel,13.3,M,9.8,Low,Homemade Cooked,690.0,31.5,11.9,None,"Gujarat, India",28.6,51.2,148.1,97.7,0.41,Lethargy,None,2025-09-26,Routine Checkup
5198,Dog,Pug,2.3,M,15.3,Medium,Commercial Kibble,1236.0,22.1,10.1,None,"Delhi, India",22.1,32.1,51.5,312.6,0.63,None,None,2025-10-22,Routine Checkup
5199,Rabbit,Holland Lop,6.7,M,11.2,Medium,Homemade Cooked,1163.0,24.8,19.3,Ear Infection,"Tamil Nadu, India",26.7,74.6,179.9,46.0,0.21,None,None,2025-10-04,Routine Checkup
5200,Cat,Persian,11.1,F,2.8,High,Homemade Cooked,1141.0,22.8,13.0,None,"Kerala, India",32.0,82.5,152.8,47.3,0.23,None,None,2025-10-18,Routine Checkup
5201,Bird,Canary,3.8,F,3.4,Low,Homemade Cooked,921.0,25.4,14.3,None,"Gujarat, India",37.2,48.0,138.8,135.1,0.28,Sneezing,None,2025-10-09,Routine Checkup
5202,Bird,Canary,5.1,M,5.2,Medium,Mixed Diet,1227.0,32.3,17.1,Skin Allergy,"Delhi, India",27.9,54.6,52.9,163.4,0.3,None,None,2025-09-25,Routine Checkup
5203,Dog,Beagle,6.8,M,5.3,Low,Dry + Wet Mix,2168.0,24.5,11.9,None,"Delhi, India",32.9,47.6,72.8,321.4,0.55,None,None,2025-10-15,Routine Checkup
5204,Cat,Bengal,8.1,M,3.1,High,Commercial Kibble,887.0,28.4,14.8,None,"Delhi, India",30.5,21.4,65.1,334.5,0.54,Sneezing,None,2025-10-02,Routine Checkup
5205,Rabbit,Netherland Dwarf,3.3,F,4.7,High,Mixed Diet,2079.0,33.3,10.1,None,"Delhi, India",17.2,37.6,21.9,255.6,0.44,Vomiting,None,2025-09-30,Routine Checkup
5206,Dog,German Shepherd,2.2,M,12.2,Low,Raw + Veg Mix,1302.0,30.8,12.8,None,"Tamil Nadu, India",25.9,70.0,112.8,86.8,0.41,None,None,2025-10-22,Routine Checkup
5207,Hamster,Syrian,9.5,M,11.5,Medium,Commercial Kibble,1909.0,27.4,10.4,None,"Tamil Nadu, India",27.5,73.0,80.8,75.4,0.31,None,None,2025-10-09,Routine Checkup
5208,Bird,Canary,7.6,F,7.5,Medium,Raw + Veg Mix,1522.0,21.2,13.6,Feline Upper Resp Infection,"Delhi, India",16.2,37.2,93.0,227.0,0.54,Loss of Appetite,None,2025-10-16,Routine Checkup
5209,Bird,Parakeet,0.7,F,7.9,Low,Mixed Diet,419.0,25.5,10.7,None,"Maharashtra, India",27.8,46.8,64.7,75.7,0.25,None,None,2025-10-09,Routine Checkup
5210,Hamster,Syrian,6.7,F,3.7,High,Homemade Cooked,1340.0,30.4,13.8,Arthritis,"Delhi, India",39.8,28.0,69.9,200.3,0.49,Sneezing,None,2025-10-04,Routine Checkup
5211,Hamster,Syrian,11.6,M,6.8,Low,Commercial Kibble,1341.0,26.5,12.4,None,"Kerala, India",28.1,82.3,339.0,39.1,0.23,Lethargy,Arthritis,2025-09-25,Administer antibiotics
5212,Rabbit,Netherland Dwarf,11.7,F,4.2,Low,Mixed Diet,655.0,20.2,19.5,None,"Kerala, India",30.7,79.5,319.1,39.0,0.4,None,None,2025-10-22,Routine Checkup
5213,Hamster,Syrian,6.8,F,11.9,High,Raw + Veg Mix,403.0,24.5,10.1,None,"Maharashtra, India",32.0,59.1,239.9,84.4,0.36,Loss of Appetite,None,2025-10-16,Routine Checkup
5214,Rabbit,Holland Lop,1.5,F,11.8,Medium,Raw + Veg Mix,1436.0,24.0,11.7,None,"Maharashtra, India",22.8,52.3,156.8,63.1,0.19,Sneezing,None,2025-09-24,Routine Checkup
5215,Hamster,Syrian,5.9,M,9.8,High,Mixed Diet,328.0,32.7,15.0,None,"Maharashtra, India",25.8,48.1,120.3,70.1,0.38,None,None,2025-09-29,Routine Checkup
5216,Cat,Persian,2.5,M,11.9,Low,Mixed Diet,745.0,30.4,18.7,None,"Delhi, India",18.7,52.9,94.1,293.4,0.51,None,None,2025-09-27,Routine Checkup
5217,Hamster,Syrian,7.5,M,5.0,High,Commercial Kibble,1483.0,32.4,18.3,Feline Upper Resp Infection,"Maharashtra, India",30.4,50.8,117.3,86.7,0.37,None,None,2025-09-24,Routine Checkup
5218,Dog,Pug,3.8,F,4.8,High,Raw + Veg Mix,2196.0,29.6,17.1,Feline Upper Resp Infection,"Tamil Nadu, India",27.2,75.4,103.1,69.3,0.4,Sneezing,Feline Upper Resp Infection,2025-10-05,Hydration therapy
5219,Dog,Labrador,10.0,M,6.4,Low,Raw + Veg Mix,372.0,27.4,12.6,Arthritis,"Maharashtra, India",24.5,48.6,219.0,82.7,0.36,None,None,2025-10-01,Routine Checkup
5220,Cat,Persian,7.3,M,9.3,Medium,Homemade Cooked,753.0,32.6,16.1,Respiratory Infection,"Tamil Nadu, India",25.6,64.7,160.4,68.5,0.27,None,None,2025-10-18,Routine Checkup
5221,Bird,Canary,1.8,F,7.0,Low,Raw + Veg Mix,1148.0,24.7,17.7,None,"Tamil Nadu, India",29.8,62.8,96.0,89.2,0.26,None,None,2025-10-13,Routine Checkup
5222,Bird,Cockatiel,8.7,F,4.2,Medium,Mixed Diet,1040.0,23.0,10.1,Arthritis,"Gujarat, India",30.2,54.3,73.6,78.9,0.31,Coughing,None,2025-10-02,Routine Checkup
5223,Bird,Canary,4.8,F,5.6,Low,Commercial Kibble,369.0,27.3,16.2,None,"Tamil Nadu, India",26.8,75.2,111.0,43.9,0.24,Vomiting,None,2025-10-15,Routine Checkup
5224,Cat,Siamese,13.8,M,7.4,Medium,Mixed Diet,733.0,34.8,11.5,Parvovirus,"Tamil Nadu, India",24.6,70.1,129.3,44.5,0.25,None,None,2025-10-08,Routine Checkup
5225,Cat,Siamese,8.4,F,10.8,Low,Raw + Veg Mix,1704.0,31.3,15.7,None,"Maharashtra, India",25.7,51.0,160.6,75.2,0.37,None,None,2025-10-04,Routine Checkup
5226,Rabbit,Holland Lop,5.6,F,7.5,High,Raw + Veg Mix,1235.0,26.3,11.0,Skin Allergy,"Tamil Nadu, India",26.1,76.8,163.5,68.0,0.33,Limping,None,2025-10-14,Routine Checkup
5227,Hamster,Syrian,14.7,M,2.4,High,Homemade Cooked,1052.0,31.2,10.2,None,"Gujarat, India",25.9,45.3,40.1,73.3,0.24,None,None,2025-10-07,Routine Checkup
5228,Dog,Labrador,13.4,M,3.9,Medium,Raw + Veg Mix,1153.0,31.8,16.7,None,"Maharashtra, India",22.4,69.8,225.1,110.8,0.38,None,None,2025-10-13,Routine Checkup
5229,Bird,Parakeet,9.4,M,4.4,Medium,Commercial Kibble,654.0,21.0,13.5,Ear Infection,"Tamil Nadu, India",25.2,70.1,130.6,52.5,0.39,Lethargy,None,2025-10-17,Routine Checkup
5230,Dog,German Shepherd,13.7,F,10.5,High,Mixed Diet,689.0,26.5,12.4,Parvovirus,"Kerala, India",27.6,84.8,333.6,58.0,0.43,Sneezing,None,2025-09-27,Routine Checkup
5231,Bird,Cockatiel,10.2,F,11.7,Medium,Raw + Veg Mix,1324.0,26.6,17.4,None,"Tamil Nadu, India",24.2,76.7,165.4,49.8,0.33,None,None,2025-09-28,Routine Checkup
5232,Dog,Golden Retriever,9.2,M,19.8,Medium,Dry + Wet Mix,871.0,28.7,14.5,Parvovirus,"Gujarat, India",34.7,51.2,46.9,127.5,0.3,Coughing,Feline Upper Resp Infection,2025-10-21,Vet exam and vaccination update
5233,Bird,Parakeet,13.1,F,4.9,Low,Raw + Veg Mix,2123.0,28.7,11.6,None,"Maharashtra, India",32.9,53.7,223.8,111.4,0.31,Loss of Appetite,Feline Upper Resp Infection,2025-09-24,Vet exam and vaccination update
5234,Rabbit,Netherland Dwarf,14.0,F,3.2,High,Raw + Veg Mix,1234.0,28.1,13.5,Parvovirus,"Delhi, India",17.0,27.0,29.9,304.0,0.49,Coughing,Skin Allergy,2025-10-18,Administer antibiotics
5235,Hamster,Syrian,11.5,M,7.5,Low,Dry + Wet Mix,1677.0,20.7,15.6,Feline Upper Resp Infection,"Delhi, India",39.0,44.8,31.7,179.1,0.42,Loss of Appetite,Skin Allergy,2025-09-28,Adjust diet: increase protein
5236,Hamster,Roborovski,5.8,M,4.8,Low,Dry + Wet Mix,954.0,27.2,15.2,Arthritis,"Kerala, India",29.6,78.2,181.8,52.8,0.25,None,None,2025-09-30,Routine Checkup
5237,Rabbit,Holland Lop,14.0,F,5.4,High,Raw + Veg Mix,2156.0,30.0,12.7,Feline Upper Resp Infection,"Kerala, India",31.7,80.2,381.7,59.9,0.43,Coughing,None,2025-10-06,Routine Checkup
5238,Bird,Cockatiel,12.2,M,2.5,Medium,Commercial Kibble,747.0,24.4,15.2,Arthritis,"Gujarat, India",22.0,58.5,77.4,141.6,0.31,None,None,2025-09-28,Routine Checkup
5239,Cat,Maine Coon,3.3,M,7.1,Medium,Mixed Diet,982.0,23.4,16.7,Parvovirus,"Tamil Nadu, India",26.5,66.9,137.1,73.6,0.35,None,None,2025-10-10,Routine Checkup
5240,Cat,Siamese,14.9,M,9.5,High,Homemade Cooked,929.0,24.6,12.9,Parvovirus,"Delhi, India",29.7,56.9,21.3,303.0,0.49,Sneezing,None,2025-09-27,Routine Checkup
5241,Dog,Labrador,13.5,F,21.6,Medium,Mixed Diet,622.0,22.0,18.4,Respiratory Infection,"Kerala, India",29.3,71.2,390.6,54.2,0.32,None,None,2025-10-22,Routine Checkup
5242,Bird,Parakeet,9.7,M,9.3,Medium,Homemade Cooked,1841.0,33.5,11.0,None,"Delhi, India",26.7,26.3,10.4,187.2,0.33,None,None,2025-10-16,Routine Checkup
5243,Rabbit,Netherland Dwarf,13.2,F,6.9,High,Dry + Wet Mix,479.0,31.5,18.1,None,"Maharashtra, India",30.6,62.0,78.2,61.7,0.2,Vomiting,None,2025-10-08,Routine Checkup
5244,Cat,British Shorthair,1.4,F,6.2,Medium,Dry + Wet Mix,839.0,28.1,18.4,Respiratory Infection,"Delhi, India",29.6,54.0,87.6,243.3,0.58,Coughing,None,2025-10-03,Routine Checkup
5245,Rabbit,Netherland Dwarf,2.4,M,3.4,Low,Raw + Veg Mix,975.0,34.1,19.9,Parvovirus,"Maharashtra, India",32.1,54.8,155.6,114.0,0.33,None,None,2025-10-19,Routine Checkup
5246,Dog,Labrador,14.1,M,13.1,Low,Dry + Wet Mix,1419.0,30.0,15.8,None,"Maharashtra, India",27.3,42.2,59.6,74.4,0.21,Lethargy,Feline Upper Resp Infection,2025-10-01,Hydration therapy
5247,Bird,Parakeet,5.3,F,11.7,High,Commercial Kibble,1834.0,32.9,10.6,None,"Maharashtra, India",29.0,65.7,194.8,113.1,0.3,None,None,2025-10-03,Routine Checkup
5248,Dog,Beagle,2.2,M,5.5,Medium,Commercial Kibble,706.0,22.6,11.0,Parvovirus,"Delhi, India",31.0,51.4,38.9,329.2,0.58,None,None,2025-09-26,Routine Checkup
5249,Dog,Beagle,12.8,F,3.9,Medium,Mixed Diet,451.0,29.0,10.1,Ear Infection,"Tamil Nadu, India",33.5,65.8,84.2,71.6,0.2,None,None,2025-10-12,Routine Checkup
5250,Dog,German Shepherd,6.5,M,34.2,Medium,Raw + Veg Mix,1104.0,31.1,16.2,Parvovirus,"Tamil Nadu, India",27.5,71.4,118.6,51.3,0.29,None,None,2025-09-24,Routine Checkup
5251,Rabbit,Holland Lop,11.0,M,8.9,Low,Commercial Kibble,479.0,28.0,12.5,None,"Maharashtra, India",27.5,46.7,174.3,105.5,0.41,None,None,2025-10-21,Routine Checkup
5252,Rabbit,Netherland Dwarf,2.3,M,2.9,Medium,Commercial Kibble,769.0,33.1,14.2,None,"Maharashtra, India",23.9,65.4,146.7,112.3,0.46,None,None,2025-10-04,Routine Checkup
5253,Dog,Beagle,13.7,M,36.5,High,Commercial Kibble,1919.0,27.1,13.7,Parvovirus,"Gujarat, India",31.9,54.0,80.6,120.6,0.39,None,None,2025-10-06,Routine Checkup
5254,Hamster,Syrian,6.7,F,11.9,Medium,Raw + Veg Mix,1270.0,34.7,14.5,Arthritis,"Tamil Nadu, India",29.6,75.4,150.1,82.6,0.35,None,None,2025-09-28,Routine Checkup
5255,Cat,Persian,4.7,M,3.7,High,Homemade Cooked,1716.0,27.9,19.0,Parvovirus,"Tamil Nadu, India",31.1,65.9,195.8,48.8,0.19,None,None,2025-09-24,Routine Checkup
5256,Dog,Golden Retriever,11.4,F,31.3,Low,Mixed Diet,456.0,34.6,12.3,Feline Upper Resp Infection,"Gujarat, India",32.2,39.9,108.8,84.7,0.21,Vomiting,Feline Upper Resp Infection,2025-10-06,Vet exam and vaccination update
5257,Hamster,Syrian,14.2,M,7.1,Medium,Commercial Kibble,1497.0,29.1,14.7,None,"Gujarat, India",32.3,47.5,116.5,148.0,0.43,None,None,2025-10-20,Routine Checkup
5258,Dog,Beagle,5.0,M,39.0,Low,Commercial Kibble,477.0,28.1,16.4,None,"Maharashtra, India",23.6,42.6,229.9,54.7,0.36,None,None,2025-10-13,Routine Checkup
5259,Hamster,Syrian,7.5,M,8.1,High,Homemade Cooked,801.0,26.4,17.8,None,"Tamil Nadu, India",24.0,69.1,160.4,81.8,0.34,None,None,2025-09-24,Routine Checkup
5260,Cat,Maine Coon,11.5,F,6.0,Low,Raw + Veg Mix,2146.0,33.8,17.8,Ear Infection,"Tamil Nadu, India",26.5,74.6,84.9,45.7,0.2,Vomiting,Feline Upper Resp Infection,2025-10-22,Provide joint supplements
5261,Dog,Labrador,2.0,F,20.7,Low,Homemade Cooked,1167.0,32.1,13.4,None,"Kerala, India",29.8,71.1,153.7,59.6,0.35,None,None,2025-10-09,Routine Checkup
5262,Rabbit,Netherland Dwarf,5.3,F,10.8,High,Homemade Cooked,2089.0,30.8,13.7,Ear Infection,"Maharashtra, India",26.9,45.2,239.1,103.2,0.3,Sneezing,Respiratory Infection,2025-09-30,Hydration therapy
5263,Dog,Golden Retriever,9.3,F,23.8,Medium,Homemade Cooked,1408.0,33.8,12.7,Feline Upper Resp Infection,"Gujarat, India",36.9,43.0,113.7,89.2,0.39,Lethargy,None,2025-10-21,Routine Checkup
5264,Rabbit,Holland Lop,7.6,M,11.3,Low,Raw + Veg Mix,1107.0,27.4,12.1,Arthritis,"Tamil Nadu, India",24.5,77.8,150.5,69.5,0.43,Sneezing,None,2025-09-23,Routine Checkup
5265,Cat,Siamese,2.6,M,8.2,Medium,Raw + Veg Mix,623.0,34.3,15.6,Skin Allergy,"Maharashtra, India",24.9,62.6,172.3,63.5,0.36,None,None,2025-10-10,Routine Checkup
5266,Hamster,Roborovski,13.4,M,10.6,Low,Dry + Wet Mix,1923.0,22.1,10.5,None,"Tamil Nadu, India",27.5,65.4,83.1,48.4,0.32,Limping,None,2025-10-22,Routine Checkup
5267,Hamster,Syrian,12.1,F,9.7,Low,Homemade Cooked,1857.0,31.6,11.5,None,"Maharashtra, India",27.0,43.5,83.8,80.7,0.41,Vomiting,None,2025-10-07,Routine Checkup
5268,Bird,Cockatiel,4.4,F,6.4,Low,Raw + Veg Mix,1181.0,21.6,15.8,None,"Maharashtra, India",24.3,56.8,203.9,112.4,0.31,None,None,2025-10-17,Routine Checkup
5269,Rabbit,Netherland Dwarf,2.7,F,10.3,Medium,Commercial Kibble,1285.0,27.2,16.1,Ear Infection,"Maharashtra, India",27.4,61.5,116.1,84.2,0.35,None,None,2025-09-23,Routine Checkup
5270,Cat,Persian,9.6,F,10.1,High,Homemade Cooked,1810.0,21.4,10.9,None,"Tamil Nadu, India",26.6,69.2,117.9,78.6,0.25,None,None,2025-10-02,Routine Checkup
5271,Hamster,Roborovski,14.9,F,8.3,High,Dry + Wet Mix,1687.0,32.2,18.7,Feline Upper Resp Infection,"Gujarat, India",34.1,49.7,90.6,117.0,0.22,None,None,2025-10-02,Routine Checkup
5272,Rabbit,Holland Lop,12.8,F,3.4,Low,Homemade Cooked,608.0,20.9,17.8,None,"Kerala, India",31.5,89.7,328.9,54.2,0.34,Vomiting,Ear Infection,2025-09-26,Provide joint supplements
5273,Hamster,Roborovski,10.7,F,3.7,Medium,Raw + Veg Mix,1740.0,20.0,11.8,Arthritis,"Gujarat, India",33.3,47.6,61.9,116.4,0.46,None,None,2025-10-01,Routine Checkup
5274,Rabbit,Holland Lop,12.0,M,9.0,Low,Dry + Wet Mix,1027.0,20.3,15.0,Feline Upper Resp Infection,"Gujarat, India",35.8,58.1,83.8,74.5,0.36,None,None,2025-10-22,Routine Checkup
5275,Bird,Canary,12.1,M,6.0,Medium,Mixed Diet,1087.0,30.0,10.7,Skin Allergy,"Kerala, India",31.8,71.7,393.6,58.3,0.41,Coughing,None,2025-10-10,Routine Checkup
5276,Dog,German Shepherd,10.9,F,16.7,Medium,Homemade Cooked,382.0,27.5,16.7,Arthritis,"Maharashtra, India",29.1,48.7,212.1,72.1,0.37,None,None,2025-10-01,Routine Checkup
5277,Rabbit,Holland Lop,7.2,M,7.0,Low,Homemade Cooked,1298.0,23.9,16.1,None,"Maharashtra, India",29.1,59.2,138.7,93.7,0.35,Loss of Appetite,None,2025-10-10,Routine Checkup
5278,Hamster,Syrian,10.7,M,10.8,Low,Commercial Kibble,2075.0,26.4,13.3,None,"Tamil Nadu, India",29.1,77.7,187.6,69.3,0.37,Lethargy,Arthritis,2025-10-10,Administer antibiotics
5279,Dog,Labrador,13.9,F,14.0,High,Dry + Wet Mix,590.0,31.5,18.2,None,"Gujarat, India",29.3,55.1,70.8,149.8,0.38,Coughing,None,2025-10-12,Routine Checkup
5280,Hamster,Roborovski,5.5,F,2.6,Low,Dry + Wet Mix,1764.0,27.8,12.9,Parvovirus,"Gujarat, India",28.6,46.3,146.2,119.5,0.32,Vomiting,None,2025-10-20,Routine Checkup
5281,Hamster,Syrian,14.6,M,9.8,Medium,Mixed Diet,1907.0,34.7,11.9,None,"Kerala, India",29.3,89.0,215.5,42.2,0.3,None,None,2025-10-02,Routine Checkup
5282,Dog,Labrador,10.4,M,4.6,Low,Homemade Cooked,1484.0,29.8,17.8,None,"Maharashtra, India",29.0,56.1,217.8,52.2,0.32,None,None,2025-09-27,Routine Checkup
5283,Hamster,Roborovski,10.0,M,5.7,Low,Dry + Wet Mix,1927.0,20.3,12.0,Feline Upper Resp Infection,"Maharashtra, India",23.0,50.7,167.0,104.5,0.38,Limping,None,2025-10-13,Routine Checkup
5284,Bird,Cockatiel,11.7,F,6.2,Low,Commercial Kibble,390.0,26.2,11.3,Arthritis,"Delhi, India",21.7,35.2,45.0,263.0,0.44,Sneezing,None,2025-09-27,Routine Checkup
5285,Rabbit,Holland Lop,1.2,M,11.6,High,Commercial Kibble,545.0,29.3,10.5,None,"Delhi, India",35.1,52.6,69.6,213.5,0.32,Sneezing,None,2025-10-16,Routine Checkup
5286,Bird,Canary,12.9,M,4.2,Low,Homemade Cooked,1445.0,28.6,13.1,None,"Gujarat, India",25.1,33.0,71.3,147.5,0.24,None,None,2025-10-17,Routine Checkup
5287,Cat,Persian,5.8,M,10.6,High,Commercial Kibble,1758.0,21.9,12.8,Parvovirus,"Maharashtra, India",23.1,56.4,157.4,91.5,0.43,None,None,2025-10-01,Routine Checkup
5288,Cat,Bengal,6.6,M,6.1,High,Commercial Kibble,1434.0,31.9,19.6,None,"Gujarat, India",35.2,34.9,17.7,92.6,0.42,None,None,2025-10-15,Routine Checkup
5289,Cat,British Shorthair,14.9,M,3.8,High,Mixed Diet,1264.0,20.5,19.6,Ear Infection,"Tamil Nadu, India",28.0,63.7,179.7,46.2,0.4,Lethargy,None,2025-10-01,Routine Checkup
5290,Bird,Canary,7.3,F,10.0,Low,Homemade Cooked,1226.0,26.8,10.3,Ear Infection,"Kerala, India",25.0,82.6,250.2,59.4,0.33,Vomiting,None,2025-10-19,Routine Checkup
